timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
15000.000,0.0,0.0,-0.00,0.00,0.00
15000.033,0.0,0.0,-0.52,1.57,0.00
15000.067,0.0,0.0,-1.05,3.14,0.00
15000.100,0.0,0.0,-1.57,4.70,0.00
15000.133,0.0,0.0,-2.09,6.26,0.00
15000.167,0.0,0.0,-2.60,7.81,0.00
15000.200,0.0,0.0,-3.12,9.36,0.00
15000.233,0.0,0.0,-3.63,10.89,0.00
15000.267,0.0,0.0,-4.13,12.40,0.00
15000.300,0.0,0.0,-4.64,13.91,0.00
15000.333,0.0,0.0,-5.13,15.39,0.00
15000.367,0.0,0.0,-5.62,16.86,0.00
15000.400,0.0,0.0,-6.10,18.30,0.00
15000.433,0.0,0.0,-6.58,19.73,0.00
15000.467,0.0,0.0,-7.04,21.13,0.00
15000.500,0.0,0.0,-7.50,22.50,0.00
15000.533,0.0,0.0,-7.95,23.85,0.00
15000.567,0.0,0.0,-8.39,25.16,0.00
15000.600,0.0,0.0,-8.82,26.45,0.00
15000.633,0.0,0.0,-9.23,27.70,0.00
15000.667,0.0,0.0,-9.64,28.93,0.00
15000.700,0.0,0.0,-10.04,30.11,0.00
15000.733,0.0,0.0,-10.42,31.26,0.00
15000.767,0.0,0.0,-10.79,32.37,0.00
15000.800,0.0,0.0,-11.15,33.44,0.00
15000.833,0.0,0.0,-11.49,34.47,0.00
15000.867,0.0,0.0,-11.82,35.46,0.00
15000.900,0.0,0.0,-12.14,36.41,0.00
15000.933,0.0,0.0,-12.44,37.31,0.00
15000.967,0.0,0.0,-12.72,38.16,0.00
15001.000,0.0,0.0,-12.99,38.97,0.00
15001.033,0.0,0.0,-13.24,39.73,0.00
15001.067,0.0,0.0,-13.48,40.45,0.00
15001.100,0.0,0.0,-13.70,41.11,0.00
15001.133,0.0,0.0,-13.91,41.72,0.00
15001.167,0.0,0.0,-14.10,42.29,0.00
15001.200,0.0,0.0,-14.27,42.80,0.00
15001.233,0.0,0.0,-14.42,43.26,0.00
15001.267,0.0,0.0,-14.55,43.66,0.00
15001.300,0.0,0.0,-14.67,44.02,0.00
15001.333,0.0,0.0,-14.77,44.32,0.00
15001.367,0.0,0.0,-14.85,44.56,0.00
15001.400,0.0,0.0,-14.92,44.75,0.00
15001.433,0.0,0.0,-14.96,44.89,0.00
15001.467,0.0,0.0,-14.99,44.97,0.00
15001.500,0.0,0.0,-15.00,45.00,0.00
15001.533,0.0,0.0,-15.00,45.00,0.00
15001.567,0.0,0.0,-15.00,45.00,0.00
15001.600,0.0,0.0,-15.00,45.00,0.00
15001.633,0.0,0.0,-15.00,45.00,0.00
15001.667,0.0,0.0,-15.00,45.00,0.00
15001.700,0.0,0.0,-15.00,45.00,0.00
15001.733,0.0,0.0,-15.00,45.00,0.00
15001.767,0.0,0.0,-15.00,45.00,0.00
15001.800,0.0,0.0,-15.00,45.00,0.00
15001.833,0.0,0.0,-15.00,45.00,0.00
15001.867,0.0,0.0,-15.00,45.00,0.00
15001.900,0.0,0.0,-15.00,45.00,0.00
15001.933,0.0,0.0,-15.00,45.00,0.00
15001.967,0.0,0.0,-15.00,45.00,0.00
