timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
15000.000,0.0,0.0,0.00,0.00,-0.00
15000.033,0.0,0.0,11.15,0.00,-7.43
15000.067,0.0,0.0,14.92,0.00,-9.95
15000.100,0.0,0.0,8.82,0.00,-5.88
15000.133,0.0,0.0,-3.12,0.00,2.08
15000.167,0.0,0.0,-12.99,0.00,8.66
15000.200,0.0,0.0,-14.27,0.00,9.51
15000.233,0.0,0.0,-6.10,0.00,4.07
15000.267,0.0,0.0,6.10,0.00,-4.07
15000.300,0.0,0.0,14.27,0.00,-9.51
15000.333,0.0,0.0,12.99,0.00,-8.66
15000.367,0.0,0.0,3.12,0.00,-2.08
15000.400,0.0,0.0,-8.82,0.00,5.88
15000.433,0.0,0.0,-14.92,0.00,9.95
15000.467,0.0,0.0,-11.15,0.00,7.43
15000.500,0.0,0.0,-0.00,0.00,0.00
15000.533,0.0,0.0,11.15,0.00,-7.43
15000.567,0.0,0.0,14.92,0.00,-9.95
15000.600,0.0,0.0,8.82,0.00,-5.88
15000.633,0.0,0.0,-3.12,0.00,2.08
15000.667,0.0,0.0,-12.99,0.00,8.66
15000.700,0.0,0.0,-14.27,0.00,9.51
15000.733,0.0,0.0,-6.10,0.00,4.07
15000.767,0.0,0.0,6.10,0.00,-4.07
15000.800,0.0,0.0,14.27,0.00,-9.51
15000.833,0.0,0.0,12.99,0.00,-8.66
15000.867,0.0,0.0,3.12,0.00,-2.08
15000.900,0.0,0.0,-8.82,0.00,5.88
15000.933,0.0,0.0,-14.92,0.00,9.95
15000.967,0.0,0.0,-11.15,0.00,7.43
15001.000,0.0,0.0,-0.00,0.00,0.00
15001.033,0.0,0.0,11.15,0.00,-7.43
15001.067,0.0,0.0,14.92,0.00,-9.95
15001.100,0.0,0.0,8.82,0.00,-5.88
15001.133,0.0,0.0,-3.12,0.00,2.08
15001.167,0.0,0.0,-12.99,0.00,8.66
15001.200,0.0,0.0,-14.27,0.00,9.51
15001.233,0.0,0.0,-6.10,0.00,4.07
15001.267,0.0,0.0,6.10,0.00,-4.07
15001.300,0.0,0.0,14.27,0.00,-9.51
15001.333,0.0,0.0,12.99,0.00,-8.66
15001.367,0.0,0.0,3.12,0.00,-2.08
15001.400,0.0,0.0,-8.82,0.00,5.88
15001.433,0.0,0.0,-14.92,0.00,9.95
15001.467,0.0,0.0,-11.15,0.00,7.43
