timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
15000.000,0.0,0.0,0.00,0.00,0.00
15000.033,0.0,0.0,0.01,0.00,0.02
15000.067,0.0,0.0,0.04,0.00,0.06
15000.100,0.0,0.0,0.09,0.00,0.14
15000.133,0.0,0.0,0.16,0.00,0.25
15000.167,0.0,0.0,0.26,0.00,0.38
15000.200,0.0,0.0,0.37,0.00,0.55
15000.233,0.0,0.0,0.50,0.00,0.75
15000.267,0.0,0.0,0.66,0.00,0.98
15000.300,0.0,0.0,0.83,0.00,1.24
15000.333,0.0,0.0,1.02,0.00,1.53
15000.367,0.0,0.0,1.24,0.00,1.85
15000.400,0.0,0.0,1.47,0.00,2.20
15000.433,0.0,0.0,1.72,0.00,2.58
15000.467,0.0,0.0,1.99,0.00,2.99
15000.500,0.0,0.0,2.28,0.00,3.43
15000.533,0.0,0.0,2.59,0.00,3.89
15000.567,0.0,0.0,2.92,0.00,4.38
15000.600,0.0,0.0,3.27,0.00,4.90
15000.633,0.0,0.0,3.64,0.00,5.45
15000.667,0.0,0.0,4.02,0.00,6.03
15000.700,0.0,0.0,4.42,0.00,6.63
15000.733,0.0,0.0,4.84,0.00,7.26
15000.767,0.0,0.0,5.28,0.00,7.91
15000.800,0.0,0.0,5.73,0.00,8.59
15000.833,0.0,0.0,6.20,0.00,9.30
15000.867,0.0,0.0,6.69,0.00,10.03
15000.900,0.0,0.0,7.19,0.00,10.78
15000.933,0.0,0.0,7.71,0.00,11.56
15000.967,0.0,0.0,8.24,0.00,12.36
15001.000,0.0,0.0,8.79,0.00,13.18
15001.033,0.0,0.0,9.35,0.00,14.02
15001.067,0.0,0.0,9.93,0.00,14.89
15001.100,0.0,0.0,10.52,0.00,15.77
15001.133,0.0,0.0,11.12,0.00,16.68
15001.167,0.0,0.0,11.74,0.00,17.61
15001.200,0.0,0.0,12.37,0.00,18.55
15001.233,0.0,0.0,13.01,0.00,19.51
15001.267,0.0,0.0,13.66,0.00,20.49
15001.300,0.0,0.0,14.33,0.00,21.49
15001.333,0.0,0.0,15.00,0.00,22.50
15001.367,0.0,0.0,15.69,0.00,23.53
15001.400,0.0,0.0,16.38,0.00,24.57
15001.433,0.0,0.0,17.08,0.00,25.63
15001.467,0.0,0.0,17.80,0.00,26.70
15001.500,0.0,0.0,18.52,0.00,27.78
15001.533,0.0,0.0,19.25,0.00,28.87
15001.567,0.0,0.0,19.99,0.00,29.98
15001.600,0.0,0.0,20.73,0.00,31.09
15001.633,0.0,0.0,21.48,0.00,32.22
15001.667,0.0,0.0,22.24,0.00,33.35
15001.700,0.0,0.0,23.00,0.00,34.49
15001.733,0.0,0.0,23.76,0.00,35.64
15001.767,0.0,0.0,24.53,0.00,36.80
15001.800,0.0,0.0,25.31,0.00,37.96
15001.833,0.0,0.0,26.08,0.00,39.13
15001.867,0.0,0.0,26.86,0.00,40.30
15001.900,0.0,0.0,27.65,0.00,41.47
15001.933,0.0,0.0,28.43,0.00,42.64
15001.967,0.0,0.0,29.21,0.00,43.82
15002.000,0.0,0.0,30.00,0.00,45.00
15002.033,0.0,0.0,30.00,0.00,45.00
15002.067,0.0,0.0,30.00,0.00,45.00
15002.100,0.0,0.0,30.00,0.00,45.00
15002.133,0.0,0.0,30.00,0.00,45.00
15002.167,0.0,0.0,30.00,0.00,45.00
15002.200,0.0,0.0,30.00,0.00,45.00
15002.233,0.0,0.0,30.00,0.00,45.00
15002.267,0.0,0.0,30.00,0.00,45.00
15002.300,0.0,0.0,30.00,0.00,45.00
15002.333,0.0,0.0,30.00,0.00,45.00
15002.367,0.0,0.0,30.00,0.00,45.00
15002.400,0.0,0.0,30.00,0.00,45.00
15002.433,0.0,0.0,30.00,0.00,45.00
15002.467,0.0,0.0,30.00,0.00,45.00
15002.500,0.0,0.0,30.00,0.00,45.00
15002.533,0.0,0.0,30.00,0.00,45.00
15002.567,0.0,0.0,30.00,0.00,45.00
15002.600,0.0,0.0,30.00,0.00,45.00
15002.633,0.0,0.0,30.00,0.00,45.00
15002.667,0.0,0.0,30.00,0.00,45.00
15002.700,0.0,0.0,30.00,0.00,45.00
15002.733,0.0,0.0,30.00,0.00,45.00
15002.767,0.0,0.0,30.00,0.00,45.00
15002.800,0.0,0.0,30.00,0.00,45.00
15002.833,0.0,0.0,30.00,0.00,45.00
15002.867,0.0,0.0,30.00,0.00,45.00
15002.900,0.0,0.0,30.00,0.00,45.00
15002.933,0.0,0.0,30.00,0.00,45.00
15002.967,0.0,0.0,30.00,0.00,45.00
